id,variant,view,action
4642576,A,7,7
4643300,A,3,3
4645528,A,6,3
4645718,A,9,7
4646346,A,9,2
4649302,A,5,1
4650016,A,10,3
4650042,A,9,2
4652982,A,5,1
4653220,A,3,3
4657262,A,10,3
4657626,A,8,3
4657756,A,6,5
4659956,A,4,4
4662426,A,9,5
4664906,A,5,2
4664960,A,14,14
4665644,A,10,2
4666186,A,9,2
4667042,A,4,2
4669778,A,4,1
4674996,A,4,3
4675386,A,6,2
4677464,A,2,2
4682338,A,5,2
4682512,A,10,5
4686898,A,5,1
4688060,A,5,1
4688384,A,10,1
4689264,A,1,1
4691950,A,10,1
4692058,A,10,7
4693388,A,4,2
4701504,A,4,3
4701530,A,1,1
4701742,A,13,8
4703612,A,10,5
4709384,A,5,4
4710750,A,9,4
4712750,A,15,13
4719116,A,6,1
4732482,A,4,2
4733694,A,8,8
4733936,A,16,4
4734660,A,6,4
4741888,A,5,2
4741900,A,3,2
4744376,A,10,4
4745116,A,5,3
4745552,A,9,1
4746000,A,9,1
4747896,A,8,2
4749452,A,3,3
4756476,A,10,9
4756568,A,5,4
4765846,A,5,5
4766530,A,8,3
4776758,A,8,3
4784664,A,3,2
4797398,A,9,5
4806456,A,3,1
4811602,A,7,3
4814068,A,5,1
4819136,A,7,4
4821434,A,8,6
4828054,A,10,10
4828852,A,5,5
4831920,A,10,2
4838032,A,4,3
4842158,A,7,1
4846410,A,3,3
4847852,A,10,8
4848764,A,5,4
4856644,A,9,3
4870970,A,4,4
4873832,A,8,2
4876824,A,5,2
4883454,A,7,4
4883698,A,5,1
4883936,A,5,1
4884216,A,5,5
4898316,A,10,6
4899134,A,10,3
4905030,A,7,3
4905584,A,10,4
4921240,A,3,1
4925030,A,7,5
4925830,A,5,2
4926438,A,10,2
4927476,A,5,3
4938694,A,3,3
4938850,A,1,1
4941696,A,6,6
4942108,A,6,3
4943160,A,5,2
4950364,A,7,4
4962830,A,10,5
4971198,A,4,1
4986692,A,10,7
4987870,A,8,1
4989454,A,8,4
4991442,A,5,2
5007960,A,4,3
5009032,A,5,2
5010808,A,3,1
5024264,A,9,9
5026608,A,3,3
5027240,A,10,4
5031106,A,10,10
5032098,A,4,3
5041358,A,8,4
5043454,A,10,2
5043816,A,7,4
5044208,A,15,3
5049002,A,8,4
5052322,A,5,5
5056054,A,8,4
5059714,A,1,1
5066822,A,4,1
5071454,A,7,2
5081592,A,5,3
5082484,A,19,11
5085784,A,7,3
5087570,A,7,3
5089406,A,12,7
5089466,A,6,3
5093782,A,7,7
5094054,A,8,3
5097822,A,9,1
5098692,A,5,1
5100518,A,11,10
5102116,A,12,5
5106316,A,9,3
5108628,A,13,12
5110234,A,2,1
5112620,A,9,4
5119112,A,9,5
5125206,A,2,1
5128902,A,5,2
5133860,A,15,9
5141462,A,7,7
5144780,A,4,4
5146462,A,2,2
5146538,A,8,8
5146714,A,10,9
5150750,A,2,1
5152100,A,11,6
5159706,A,2,2
5160562,A,14,4
5161210,A,6,2
5165222,A,5,3
5165450,A,5,3
5165476,A,15,13
5165950,A,9,2
5166070,A,10,10
5167400,A,8,5
5173784,A,5,4
5174418,A,3,2
5177602,A,6,2
5178992,A,7,7
5179080,A,15,1
5179478,A,9,6
5179484,A,3,2
5179556,A,5,2
5180728,A,7,4
5183732,A,9,4
5183812,A,1,1
5184374,A,10,2
5186730,A,13,5
5189940,A,4,4
5194108,A,10,4
5197516,A,9,6
5207342,A,9,8
5208198,A,9,1
5208850,A,5,5
5212706,A,4,1
5216382,A,10,9
5233916,A,12,10
5238924,A,4,3
5241682,A,1,1
5241894,A,6,3
5243632,A,10,7
5248768,A,12,2
5249930,A,3,3
5250834,A,10,2
5253694,A,7,7
5254754,A,5,3
5256794,A,9,5
5256894,A,6,3
5256904,A,5,1
5257104,A,2,2
5259978,A,3,3
5260836,A,5,1
5260868,A,11,7
5261288,A,5,2
5261520,A,5,1
5262130,A,9,4
5264974,A,4,4
5265018,A,3,3
5265720,A,4,2
5266906,A,9,1
5268030,A,9,6
5269032,A,10,2
5270012,A,8,2
5270096,A,5,2
5270280,A,7,6
5271686,A,3,1
5272328,A,2,2
5276114,A,3,3
5276134,A,9,6
5276392,A,6,3
5277450,A,10,4
5277566,A,3,1
5278776,A,10,7
5280224,A,8,1
5282846,A,5,5
5283002,A,10,8
5283062,A,6,4
5283382,A,9,5
5283598,A,8,7
5283858,A,9,3
5284652,A,5,2
5285868,A,8,7
5286370,A,5,4
5286936,A,13,6
5287814,A,8,1
5288928,A,1,1
5289760,A,1,1
5291990,A,6,6
5295868,A,5,4
5297390,A,7,5
5300496,A,10,10
5302008,A,8,1
5302188,A,5,2
5302736,A,4,4
5302906,A,11,11
5304170,A,9,9
5305302,A,9,4
5305950,A,5,5
5306028,A,6,6
5307830,A,10,7
5307872,A,7,5
5308378,A,10,1
5308644,A,5,5
5308772,A,7,1
5308928,A,4,3
5309076,A,4,1
5309390,A,9,1
5309448,A,10,8
5309596,A,4,3
5309654,A,4,1
5309676,A,1,1
5309840,A,4,1
5309882,A,2,1
5310802,A,7,6
5311430,A,4,1
5311648,A,10,10
5312058,A,11,10
5313258,A,5,3
5313456,A,12,2
5313764,A,10,2
5314686,A,8,2
5315334,A,4,4
5316086,A,9,8
5316122,A,5,2
5316438,A,1,1
5316456,A,5,1
5316604,A,2,1
5316792,A,3,2
5316974,A,6,2
5317226,A,5,3
5317346,A,4,3
5317942,A,7,6
5317986,A,10,10
5318222,A,4,4
5318268,A,10,6
5318324,A,3,2
5318708,A,10,2
5320092,A,9,7
5321916,A,4,2
5323012,A,2,1
5323062,A,17,15
5323202,A,7,3
5323234,A,7,7
5323386,A,10,7
5323514,A,1,1
5323842,A,10,6
5324104,A,5,1
5324288,A,1,1
5324788,A,6,1
5324966,A,11,5
5325740,A,1,1
5326018,A,6,2
5327108,A,10,2
5330188,A,2,2
5330258,A,5,1
5330366,A,2,2
5330470,A,8,2
5330912,A,9,5
5330954,A,9,3
5330996,A,5,3
5331126,A,10,4
5331266,A,10,3
5331408,A,9,6
5332158,A,7,7
5332168,A,10,3
5332500,A,9,4
5336986,A,3,2
5337224,A,5,2
5345378,A,10,7
5347188,A,6,5
5347588,A,5,2
5347658,A,3,2
5347760,A,5,2
5347932,A,5,4
5348462,A,5,4
5348600,A,9,4
5348682,A,4,2
5348896,A,6,2
5349700,A,4,2
5349820,A,10,4
5349914,A,4,4
5350382,A,5,3
5350564,A,6,5
5350706,A,4,4
5351700,A,4,2
5352610,A,7,1
5353696,A,10,7
5353962,A,13,9
5356108,A,9,8
5356282,A,4,3
5356378,A,8,7
5356456,A,5,3
5356512,A,3,2
5356974,A,6,1
5356996,A,4,3
5357238,A,6,2
5357514,A,10,8
5357604,A,7,3
5358202,A,4,1
5358390,A,4,4
5358780,A,7,2
5360220,A,5,3
5361334,A,7,3
5361472,A,8,4
5361526,A,5,2
5361544,A,4,1
5362496,A,6,4
5365208,A,2,1
5365236,A,5,2
5366462,A,11,4
5366828,A,2,1
5368134,A,10,6
5369878,A,5,4
5370474,A,3,3
5370664,A,8,5
5372382,A,7,2
5375146,A,5,4
5375956,A,10,5
5376794,A,10,8
5381930,A,8,4
5382082,A,9,3
5382346,A,8,4
5382620,A,5,3
5382674,A,5,2
5383546,A,5,3
5383602,A,4,3
5383740,A,21,14
5384336,A,4,4
5384360,A,2,1
5384844,A,5,5
5385002,A,10,3
5385150,A,5,4
5385846,A,4,2
5387540,A,10,3
5389016,A,6,5
5390648,A,9,2
5390672,A,5,2
5390762,A,5,1
5391170,A,4,2
5391534,A,8,2
5392552,A,10,6
5392968,A,5,4
5393570,A,10,3
5393602,A,9,1
5393936,A,4,2
5394130,A,6,2
5394168,A,3,1
5394364,A,9,3
5395178,A,3,3
5395624,A,4,4
5396140,A,6,1
5398126,A,5,4
5398346,A,9,7
5399114,A,1,1
5399134,A,4,3
5399348,A,4,3
5399630,A,5,2
5400452,A,3,1
5401806,A,5,4
5403086,A,5,2
5404000,A,3,2
5405312,A,10,6
5407700,A,4,3
5408096,A,8,2
5408440,A,5,1
5408492,A,3,1
5408676,A,4,1
5408798,A,6,3
5408994,A,5,5
5409182,A,9,2
5409860,A,8,1
5410194,A,11,6
5410650,A,1,1
5411136,A,8,5
5412628,A,4,1
5412772,A,9,3
5413170,A,1,1
5413290,A,5,5
5413642,A,10,9
5414800,A,14,14
5414932,A,10,2
5415766,A,7,2
5417524,A,5,1
5417590,A,4,4
5418104,A,8,5
5418284,A,8,5
5418432,A,9,1
5418502,A,8,1
5418756,A,10,5
5418788,A,9,4
5419088,A,7,4
5419490,A,7,1
5420374,A,1,1
5420400,A,10,2
5420426,A,5,4
5420478,A,5,2
5420544,A,5,4
5420714,A,5,4
5421414,A,5,5
5422296,A,4,3
5422638,A,4,1
5422814,A,4,1
5424352,A,5,1
5425602,A,4,3
5425806,A,1,1
5426482,A,9,2
5426554,A,9,5
5429832,A,4,4
5430080,A,5,4
5431046,A,6,1
5431238,A,9,8
5431360,A,4,2
5431386,A,5,3
5431948,A,1,1
5432704,A,10,10
5432898,A,9,2
5433196,A,8,2
5433824,A,8,6
5433836,A,4,2
5434448,A,10,9
5434518,A,4,1
5436026,A,15,3
5437564,A,4,3
5437714,A,8,5
5437916,A,7,3
5439082,A,4,2
5439206,A,3,1
5440054,A,5,5
5441530,A,4,1
5441994,A,5,2
5442476,A,12,11
5442772,A,3,2
5443698,A,6,6
5444044,A,5,3
5444422,A,9,3
5446222,A,8,7
5447272,A,9,6
5454202,A,9,3
5454500,A,9,7
5457054,A,4,1
5457086,A,3,2
5457366,A,1,1
5459516,A,10,9
5459556,A,6,6
5460360,A,5,1
5460428,A,9,9
5460546,A,3,2
5462596,A,13,13
5463062,A,5,4
5463276,A,8,3
5463304,A,5,4
5464374,A,9,7
5466582,A,10,4
5466620,A,5,3
5466980,A,4,3
5467186,A,15,8
5468346,A,8,3
5468708,A,5,4
5468990,A,9,8
5469124,A,9,4
5470390,A,8,6
5470506,A,1,1
5470640,A,10,8
5470844,A,15,4
5472544,A,9,3
5472924,A,10,3
5473562,A,12,2
5474128,A,10,5
5474300,A,5,3
5474408,A,10,2
5474800,A,8,7
5474928,A,7,3
5476008,A,9,7
5476794,A,3,3
5476840,A,10,3
5476878,A,9,3
5477044,A,9,1
5479766,A,10,8
5480614,A,9,6
5481196,A,3,3
5482080,A,14,14
5482222,A,10,7
5482858,A,1,1
5482936,A,1,1
5485034,A,1,1
5486874,A,15,7
5488360,A,11,6
5488428,A,10,5
5488436,A,18,8
5488994,A,5,1
5489156,A,8,1
5489874,A,3,3
5490984,A,5,5
5491052,A,5,2
5491378,A,10,9
5491848,A,10,6
5491984,A,10,9
5492780,A,5,2
5492932,A,3,3
5495870,A,6,3
5496450,A,10,9
5497308,A,9,4
5497432,A,10,6
5505100,A,4,3
5505184,A,4,3
5505410,A,6,3
5506440,A,2,1
5506498,A,4,1
5506546,A,9,3
5506842,A,3,2
5507120,A,5,2
5507592,A,8,8
5507728,A,2,2
5508718,A,3,3
5510272,A,3,2
5513084,A,4,1
5515630,A,8,2
5516874,A,11,7
5517510,A,10,1
5519896,A,13,2
5520052,A,8,7
5520096,A,7,7
5522124,A,3,3
5523038,A,8,8
5523974,A,10,6
5524858,A,5,5
5525286,A,5,1
5525290,A,5,5
5526924,A,3,1
5530678,A,4,3
5530976,A,9,6
5530994,A,1,1
5533080,A,10,6
5534188,A,5,5
5534408,A,9,2
5534764,A,4,2
5535146,A,5,2
5535312,A,14,6
5537734,A,2,1
5539526,A,10,1
5539532,A,5,1
5541676,A,6,1
5542502,A,4,2
5542960,A,4,4
5543184,A,9,3
5543206,A,4,2
5543300,A,9,9
5543598,A,5,5
5543750,A,5,1
5546078,A,9,1
5546354,A,7,1
5547504,A,12,1
5548692,A,20,12
5550914,A,10,1
5551660,A,5,2
5551800,A,10,7
5552398,A,7,7
5553174,A,12,10
5553238,A,14,1
5553742,A,6,2
5554628,A,10,4
5554842,A,5,3
5555000,A,9,3
5555012,A,1,1
5555208,A,4,2
5556268,A,11,3
5556620,A,11,11
5558746,A,4,4
5559222,A,9,6
5560024,A,5,5
5560028,A,3,3
5560218,A,1,1
5561162,A,9,6
5562258,A,4,3
5562466,A,8,1
5562890,A,5,3
5564262,A,1,1
5564996,A,1,1
5565282,A,5,3
5568204,A,11,10
5569456,A,5,1
5570494,A,2,1
5571518,A,5,1
5573592,A,5,2
5573746,A,4,1
5573914,A,9,6
5574094,A,3,3
5574666,A,8,5
5575732,A,4,3
5576312,A,7,7
5576408,A,1,1
5577762,A,3,1
5579390,A,13,1
5579870,A,1,1
5580922,A,10,1
5581504,A,8,7
5582392,A,8,7
5582620,A,3,2
5583268,A,3,3
5583436,A,15,12
5584670,A,4,2
5585250,A,5,2
5585302,A,10,4
5587818,A,4,3
5587856,A,6,1
5588960,A,5,5
5589414,A,7,6
5590238,A,5,1
5593728,A,2,2
5594220,A,5,1
5594292,A,6,3
5594416,A,11,2
5594770,A,1,1
5595870,A,3,2
5596332,A,9,4
5596496,A,6,1
5596594,A,7,5
5598178,A,13,2
5598678,A,9,7
5599090,A,5,2
5599258,A,10,9
5601786,A,9,6
5602962,A,1,1
5603130,A,4,4
5603672,A,5,2
5604864,A,15,13
5606268,A,4,3
5606596,A,4,4
5608266,A,10,10
5608940,A,8,5
5608958,A,9,8
5610540,A,5,4
5610846,A,5,5
5612386,A,9,2
5613798,A,9,5
5615628,A,10,10
5615974,A,8,7
5616118,A,5,4
5616166,A,10,9
5616170,A,4,2
5616758,A,1,1
5617586,A,8,4
5618242,A,8,5
5618400,A,9,5
5619478,A,6,2
5619926,A,1,1
5619996,A,8,4
5620098,A,4,2
5620502,A,6,1
5621780,A,5,5
5623158,A,5,1
5624086,A,11,7
5624342,A,9,6
5624626,A,5,3
5624736,A,2,1
5625798,A,5,3
5625936,A,5,4
5627260,A,5,4
5628716,A,8,3
5630888,A,5,4
5631734,A,10,9
5632636,A,5,1
5637066,A,1,1
5640508,A,1,1
5644082,A,15,3
5644320,A,11,10
5644794,A,4,3
5645726,A,5,5
5646448,A,5,2
5648778,A,10,7
5649204,A,6,3
5649774,A,10,10
5649816,A,10,5
5651000,A,11,1
5651072,A,5,1
5655894,A,7,4
5658776,A,4,2
5659246,A,4,3
5659526,A,2,2
5668356,A,10,5
5670916,A,7,4
5671736,A,6,2
5671960,A,4,2
5672066,A,10,6
5672256,A,5,1
5673344,A,5,4
5673946,A,5,3
5674452,A,4,4
5675260,A,9,3
5677638,A,9,9
5679368,A,9,5
5679386,A,2,1
5682236,A,10,9
5682318,A,3,1
5685332,A,5,2
5685514,A,9,1
5685982,A,5,1
5686278,A,13,6
5687288,A,5,1
5687440,A,1,1
5688052,A,9,1
5693960,A,12,8
5695984,A,8,4
5697074,A,5,3
5698946,A,10,7
5699536,A,5,2
5701728,A,17,15
5703696,A,12,1
5706276,A,4,4
5706398,A,5,5
5707884,A,5,3
5710064,A,10,4
5710198,A,4,1
5714330,A,3,2
5714942,A,8,2
5715556,A,7,3
5716092,A,10,8
5719292,A,11,11
5720144,A,1,1
5724468,A,3,2
5726620,A,4,2
5726726,A,12,1
5727036,A,16,10
5727256,A,5,1
5727268,A,9,1
5732554,A,9,6
5733812,A,10,2
5734204,A,5,3
5735560,A,2,2
5735928,A,10,10
5742130,A,5,2
5742348,A,4,4
5742662,A,4,4
5742762,A,4,4
5743578,A,15,1
5744520,A,8,8
5744538,A,2,1
5748198,A,7,3
5749380,A,3,1
5749976,A,8,7
5750010,A,5,3
5750608,A,4,4
5751298,A,9,8
5751528,A,6,3
5751636,A,14,14
5751718,A,10,1
5751720,A,9,7
5752212,A,15,6
5752242,A,9,9
5752836,A,11,7
5752994,A,10,6
5754284,A,5,1
5757284,A,4,1
5757470,A,1,1
5757892,A,11,11
5758144,A,10,7
5758560,A,1,1
5761150,A,5,4
5762388,A,3,1
5762736,A,6,1
5763952,A,11,9
5764148,A,8,5
5765018,A,4,3
5765626,A,1,1
5765816,A,5,5
5769816,A,10,6
5770956,A,5,5
5771008,A,5,5
5771726,A,4,3
5771940,A,6,5
5772034,A,15,5
5774642,A,10,6
5774722,A,2,2
5775436,A,6,3
5777472,A,4,2
5777596,A,9,9
5784832,A,10,10
5785886,A,8,1
5786220,A,8,3
5788410,A,4,3
5788418,A,6,6
5789446,A,1,1
5790298,A,9,2
5792592,A,10,5
5792692,A,6,2
5794650,A,10,6
5796562,A,10,8
5797020,A,3,1
5797872,A,1,1
5798130,A,8,5
5799138,A,5,3
5799314,A,10,10
5801440,A,3,3
5804152,A,10,5
5804156,A,10,6
5807138,A,10,2
5807838,A,7,7
5809054,A,10,9
5812646,A,7,4
5812924,A,9,8
5814096,A,9,6
5815216,A,5,5
5815322,A,10,9
5820238,A,5,3
5820392,A,8,6
5821194,A,3,2
5826098,A,5,1
5826364,A,10,4
5827106,A,11,8
5829280,A,1,1
5832346,A,2,2
5835832,A,10,2
5836810,A,3,2
5839586,A,8,1
5842614,A,5,4
5844566,A,10,7
5845070,A,12,6
5849870,A,7,5
5852380,A,10,10
5852558,A,8,4
5853166,A,5,3
5854918,A,5,5
5854988,A,11,8
5855692,A,9,8
5857216,A,5,4
5858430,A,6,4
5860380,A,9,2
5861800,A,5,1
5863924,A,12,9
5864188,A,7,4
5865552,A,3,3
5868762,A,7,3
5872774,A,5,2
5874162,A,9,3
5875334,A,10,3
5875400,A,5,4
5875940,A,11,11
5877524,A,10,1
5877532,A,6,1
5883896,A,5,3
5884082,A,2,2
5884382,A,10,6
5885662,A,1,1
5886028,A,2,2
5887276,A,9,7
5893110,A,9,4
5893610,A,9,3
5895902,A,5,5
5895906,A,5,1
5896286,A,9,4
5897298,A,3,2
5902850,A,10,3
5903756,A,5,4
5904090,A,6,4
5905808,A,4,3
5908792,A,4,4
5910254,A,5,2
5910682,A,11,2
5914090,A,4,1
5916094,A,6,4
5916424,A,3,1
5916522,A,8,7
5920894,A,11,8
5923876,A,10,9
5924888,A,13,9
5925950,A,5,5
5926798,A,1,1
5935404,A,10,8
5935686,A,10,8
5936358,A,5,3
5938898,A,10,4
5941996,A,1,1
5942252,A,7,3
5943270,A,10,3
5943948,A,15,3
5944170,A,9,5
5944360,A,7,5
5944882,A,8,8
5951638,A,1,1
5951790,A,9,2
5953012,A,9,2
5953542,A,2,2
5955580,A,10,4
5956408,A,10,10
5957372,A,9,7
5958494,A,7,5
5961354,A,10,9
5961668,A,4,2
5963204,A,9,7
5963402,A,1,1
5964610,A,5,5
5965748,A,4,3
5969128,A,4,2
5969816,A,5,2
5969962,A,3,1
5969996,A,5,5
5971960,A,2,1
5975992,A,5,4
5976270,A,2,2
5976832,A,5,4
5978042,A,1,1
5985420,A,7,1
5985484,A,10,6
5988536,A,10,9
5988862,A,4,4
5989472,A,4,1
5989970,A,4,2
5992290,A,3,3
5992386,A,10,6
5993014,A,2,1
5993598,A,10,10
5994880,A,7,1
5996112,A,4,3
5997514,A,10,6
5998222,A,6,2
